Date,index_ticker,Industry,ret_next_1d,baseline_ret_1d,pred_ret_1d,abs_err_baseline,abs_err_model,improved,true_up,baseline_up,pred_up_1d,prob_up_1d,MKT_1d,SentimentScore
2025-10-09,C,Financials,-0.020746432122880076,-0.027027764376787222,-0.024724933424932864,0.006281332253907146,0.003978501302052788,True,0,0,1,0.7104389602212102,-0.027027764376787222,0.0
2025-10-10,C,Financials,0.023102275983544196,0.015344029580113494,0.013607465361867837,0.007758246403430702,0.009494810621676359,False,1,1,1,0.657958604354949,0.015344029580113494,0.0
2025-10-13,C,Financials,0.038917814125796646,-0.0012216421112398734,-0.0001917517664456528,0.04013945623703652,0.0391095658922423,True,1,0,0,0.3623796986629556,-0.0012216421112398734,0.0
2025-10-14,C,Financials,-0.0006009840364096242,0.00443954899070742,0.003990645108407987,0.0050405330271170445,0.004591629144817611,True,0,1,1,0.5806680885599037,0.00443954899070742,0.0
2025-10-15,C,Financials,-0.0352775476859315,-0.006810241559458086,-0.00579944890245644,0.028467306126473413,0.029478098783475057,False,0,0,0,0.3128664234673133,-0.006810241559458086,0.0
2025-10-16,C,Financials,0.00841470589431248,0.0056763137515907225,0.006141236296461416,0.0027383921427217572,0.002273469597851064,True,1,1,0,0.48499925610157585,0.0056763137515907225,0.0
2025-10-17,C,Financials,0.022973101614611524,0.010400477117627371,0.010086827276047863,0.012572624496984153,0.012886274338563661,False,1,1,0,0.1979786599008656,0.010400477117627371,0.0
2025-10-20,C,Financials,-0.010574027233549721,-1.4911017141350236e-05,0.0002140795714575231,0.01055911621640837,0.010788106805007244,False,0,0,0,0.2029637113629276,-1.4911017141350236e-05,0.0
2025-10-21,C,Financials,-0.01984728972301364,-0.005198930936866852,-0.003681373767759919,0.014648358786146787,0.01616591595525372,False,0,0,1,0.6180589308670809,-0.005198930936866852,0.0
2025-10-22,C,Financials,0.004049836217338898,0.005929952148911788,0.006118447377258371,0.00188011593157289,0.002068611159919473,False,1,1,1,0.7090933047020547,0.005929952148911788,0.0
2025-10-23,C,Financials,0.021615407109376372,0.008172546972973871,0.008490445409040374,0.013442860136402501,0.013124961700335998,True,1,1,0,0.2519534530143881,0.008172546972973871,0.0
2025-10-24,C,Financials,0.022372933188879562,0.011797696913067535,0.010919841419125843,0.010575236275812028,0.01145309176975372,False,1,1,0,0.18511782668973525,0.011797696913067535,0.0
2025-10-27,C,Financials,0.0039608605963108445,0.002656014462314449,0.0024390828550916034,0.0013048461339963957,0.0015217777412192411,False,1,1,0,0.4167041619134953,0.002656014462314449,0.0
2025-10-28,C,Financials,-0.022388800285951693,0.00048033227231458753,0.0008388604342463066,0.02286913255826628,0.023227660720198,False,0,1,0,0.20118681073073552,0.00048033227231458753,0.0
2025-10-29,C,Financials,0.011097687290749558,-0.010998119550020391,-0.00975175239548909,0.02209580684076995,0.020849439686238647,True,1,0,0,0.4047046063375027,-0.010998119550020391,0.0
2025-10-30,C,Financials,0.01007782249560396,0.0032802030105936186,0.0030670752213164862,0.006797619485010342,0.007010747274287474,False,1,1,0,0.1979786599008656,0.0032802030105936186,0.0
2025-10-31,C,Financials,0.00973860359721046,0.0018767107020742912,0.002293631761372734,0.007861892895136169,0.007444971835837726,True,1,1,0,0.2029637113629276,0.0018767107020742912,0.0
2025-11-03,C,Financials,-0.005904915564580393,-0.011853596017736279,-0.010434674750443858,0.005948680453155886,0.004529759185863465,True,0,0,0,0.20777698009028564,-0.011853596017736279,0.0
2025-11-04,C,Financials,0.006732009610876721,0.0034654743340312155,0.0033916224338057846,0.003266535276845506,0.0033403871770709367,False,1,1,1,0.7069067099714815,0.0034654743340312155,0.0
2025-11-05,C,Financials,-0.008260438067834275,-0.010729388925125316,-0.009878114415922627,0.0024689508572910412,0.0016176763480883517,True,0,0,0,0.20929718497537358,-0.010729388925125316,0.0
2025-11-06,C,Financials,-0.0005949187853399041,0.0009845789961884233,0.0011786407441220694,0.0015794977815283273,0.0017735595294619735,False,0,1,0,0.4506834556723598,0.0009845789961884233,0.0
2025-11-07,C,Financials,0.00694510310431351,0.01560432239211762,0.014669705843460031,0.00865921928780411,0.007724602739146521,True,1,1,1,0.548898760312563,0.01560432239211762,0.0
2025-11-10,C,Financials,-0.007192784933535368,0.0022892661907207845,0.0024823210101077194,0.009482051124256152,0.009675105943643087,False,0,1,0,0.3018004438397473,0.0022892661907207845,0.0
2025-11-11,C,Financials,0.020940855156977634,0.0005563761095350728,0.0012838783098566395,0.02038447904744256,0.019656976847120994,True,1,1,1,0.5141237243197765,0.0005563761095350728,0.0
2025-11-12,C,Financials,-0.021386259540173036,-0.016594027882646856,-0.015802510041286518,0.00479223165752618,0.005583749498886518,False,0,0,1,0.6538240450884847,-0.016594027882646856,0.0
2025-11-13,C,Financials,-0.003675326551278668,-0.00016365894166792128,0.0005273735171502481,0.003511667609610747,0.004202700068428916,False,0,0,1,0.505042104998341,-0.00016365894166792128,0.0
2025-11-14,C,Financials,-0.021036894777188953,-0.009316461288915168,-0.008602372905668856,0.011720433488273785,0.012434521871520096,False,0,0,1,0.5088458938095554,-0.009316461288915168,0.0
2025-11-17,C,Financials,0.0013239357387280215,-0.008397503213040225,-0.008458304818481338,0.009721438951768246,0.00978224055720936,False,1,0,1,0.5190052742352403,-0.008397503213040225,0.0
2025-11-18,C,Financials,0.015358036421047272,0.003863149507556951,0.003708044249964243,0.011494886913490321,0.01164999217108303,False,1,1,0,0.31406548019035047,0.003863149507556951,0.0
2025-11-19,C,Financials,-0.02203750913838365,-0.015242255122032589,-0.012985407691435039,0.00679525401635106,0.00905210144694861,False,0,0,0,0.22778767771473438,-0.015242255122032589,0.0
2025-11-20,C,Financials,0.010959743162204827,0.009961227389035265,0.009620214235090642,0.0009985157731695615,0.0013395289271141853,False,1,1,1,0.7087743452258514,0.009961227389035265,0.0
2025-11-21,C,Financials,0.010030451102072568,0.014718526835907575,0.011968114253067347,0.0046880757338350065,0.0019376631509947784,True,1,1,0,0.409717182159718,0.014718526835907575,0.0
2025-11-24,C,Financials,0.014845979449232605,0.009405947461920139,0.008474153199436492,0.005440031987312466,0.006371826249796113,False,1,1,0,0.39704190913480847,0.009405947461920139,0.0
2025-11-25,C,Financials,0.013146207918613317,0.006903459171132775,0.006460483799619145,0.006242748747480542,0.006685724118994173,False,1,1,0,0.18109481128047622,0.006903459171132775,0.0
2025-11-26,C,Financials,0.01073169243044969,0.0054584834225450685,0.004960031615878767,0.005273209007904622,0.005771660814570923,False,1,1,0,0.31203438574399944,0.0054584834225450685,-0.9015617966651917
2025-11-26,C,Financials,0.01073169243044969,0.0054584834225450685,0.004960031615878767,0.005273209007904622,0.005771660814570923,False,1,1,0,0.3355040690730058,0.0054584834225450685,-0.9015617966651917
2025-06-30,CAT,Industrials,0.006980782354977455,-0.0003236298209773336,0.00033795173974927374,0.007304412175954789,0.0066428306152281815,True,1,0,0,0.35977270623603097,-0.0003236298209773336,0.0
2025-07-01,CAT,Industrials,0.019211008593273737,0.004533275199175568,0.004055860674746308,0.014677733394098169,0.015155147918527428,False,1,1,0,0.2901034478351848,0.004533275199175568,0.0
2025-07-02,CAT,Industrials,-0.0014305940982211052,0.007881351217300603,0.0067599262538849784,0.009311945315521708,0.008190520352106084,True,0,1,0,0.2556083535869476,0.007881351217300603,0.0
2025-07-03,CAT,Industrials,-0.015960280040292485,-0.007451911689688506,-0.005844802592669896,0.008508368350603979,0.01011547744762259,False,0,0,1,0.5086624575812713,-0.007451911689688506,0.0
2025-07-07,CAT,Industrials,0.007100670453241031,-0.0005477706277796646,0.00046835353162922016,0.007648441081020696,0.006632316921611811,True,1,0,1,0.6977429803522645,-0.0005477706277796646,0.0
2025-07-08,CAT,Industrials,0.02001058112930143,0.005996615280215112,0.0054544306870839485,0.014013965849086318,0.014556150442217482,False,1,1,0,0.22706884077819775,0.005996615280215112,0.0
2025-07-09,CAT,Industrials,0.015291704307886844,0.0028203284907413195,0.0022607725121249764,0.012471375817145525,0.013030931795761869,False,1,1,0,0.3862910717707347,0.0028203284907413195,0.0
